CLIENT NAME,LOBBYIST LAST NAME,LOBBYIST FIRST NAME,LOBBYIST ADDRESS,LOBBYIST CITY,LOBBYIST STATE,LOBBYIST ZIP
1930 Sedgwick LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
1952 Lawrence Ave. LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
"2004-2008 W. Erie Street, LLC c/o Bartlomiej Przyjemski",Banks,James ,"221 N. LaSalle At., #3800",Chicago,IL,60601
2040-2042 N Damen Ave LLC,Schramm,Jessica,55 East Monroe Street,Chicago,IL,60603
"2100 S Indiana Avenue Equities, LLC",Ramsey,Emily,53 W Jackson Blvd,Chicago,IL,60604
2107 W Ohio LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
215 W Hubbard LLC,Pugh,Donna,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
215 W Hubbard LLC,Pugh,Donna,"321 N. Clark St., Ste. 2800",Chicago,IL,60610
215 W Hubbard LLC,DiLorenzo,Michael,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
2242 N Seminary LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
"228 Racine, LLC",Ezgur,Michael,1030 W. Chicago Ave.,Chicago,IL,60642
230 West Monroe Associates Property LLC,Pugh,Donna,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
230 West Monroe Associates Property LLC,Pugh,Donna,321 N. Clark St.,Chicago,IL,60654
230 West Monroe Associates Property LLC,Kimmons,Gyata,"409 W. Huron St., Ste. 600",Chicago,IL,60654
230 West Monroe Associates Property LLC,DiLorenzo,Michael,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
230 West Monroe Associates Property LLC,DiLorenzo,Michael,321 N. Clark St.,Chicago,IL,60654
2400 N. Lakeview Condo. Assoc.,Gattuso,Joseph,"111 E. Wacker Drive, Suite 2800",Chicago,IL,60601
2523 N Halsted Condo Assoc.,Moore,Thomas,111 W Washington,Chicago,IL,60602
"2532 Irving Park, LLC c/o Bart Przyjemski",Banks,James ,"221 N. LaSalle At., #3800",Chicago,IL,60601
2616 W North Ave. LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
2650 Milwaukee LLC,Acosta,Rolando,2949 W Gregory St,Chicago,IL,60625
"2800 S. Ashland Development Assoc., LLC",McGuire,Katriina,"70 W. Madison, Ste. 4500",Chicago,IL,60602
2817 N. Clark LLC,Pugh,Donna,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
2817 N. Clark LLC,DiLorenzo,Michael,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
2817 N. Clark LLC,Pugh,Donna,"321 N. Clark St., Ste. 2800",Chicago,IL,60610
3030 N Broadway LLC,Leach,Chris,130 East Randolph Street,Chicago,IL,60601
3030 N Broadway LLC,George,John,180 N Stetson,Chicago,IL,60601
3030 N Broadway LLC,Leach,Chris,180 N Stetson,Chicago,IL,60601
3200 South Kedzie LLC,Scott,Andrew,"10 S. Wacker Dr., Ste. 2300",Chicago,IL,60606
320 South Michigan Restaurant LLC,Brankin,Patrick,"70 W. Madison Street, Ste. 5300",Chicago,IL,60602
320 South Michigan Restaurant LLC,Brankin,Patrick,"70 W. Madison, Ste. 4500",Chicago,IL,60602
320 South Michigan Restaurant LLC,Robertson,Lee,"70 W. Madison, Ste. 4500",Chicago,IL,60602
"3300 W Franklin Blvd LLC- c/o Development Resources, Inc",Walton,Jewell ,"221 N LaSalle St., Ste. 820",Chicago,IL,60601
"3300 W Franklin Blvd LLC- c/o Development Resources, Inc",Friedman,Stephen,"221 N LaSalle St., Ste. 820",Chicago,IL,60601
"330 N. Wabash Avenue, L.L.C.",DiGrino,Mariah,203 N. LaSalle Street,Chicago,IL,60601
333 Building Corp,O'Keefe,Bridget,227 W. Monroe St.,Chicago,IL,60606
333 Building Corp,O'Keefe,Bridget,"227 W. Monroe St., #3500",Chicago,IL,60606
3401-09 N. Southport LLC,McGuire,Katriina,55 E. Monroe,Chicago,IL,60603
"3406 Sheffield, LLC",Grady,Graham,111 East Wacker Drive,Chicago,IL,60601
"341 W. Grand, LLC",Kus,Edward ,"111 E. Wacker Dr., Ste. 2800",Chicago,IL,60601
3506 Hospitality LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
"35 S Aberdeen, LLC",Moore,Thomas,111 W Washington,Chicago,IL,60602
3607 N Lakewood LLC,Schramm,Jessica,55 East Monroe Street,Chicago,IL,60603
"360 North Michigan Properties, LLC",Grady,Graham,111 East Wacker Dr.,Chicago,IL,60601
"360 North Michigan Properties, LLC",Grady,Graham,111 East Wacker Drive,Chicago,IL,60601
3625 W 31st Street LLC,George,John,130 E Randolph St,Chicago,IL,60601
363 Erie LLC,Gattuso,Joseph ,"111 E. Wacker Drive, Suite 2800",Chicago,IL,60601
3660 North Lake Shore Drive Phase II LLC,Gattuso,Joseph ,"111 E. Wacker Drive, Suite 2800",Chicago,IL,60601
3838 North Broadway LLC,Katz,Marilyn,350 W. Hubbard St. #200,Chicago,IL,6065460610
3939 JAM Ventures LLC,Robertson,Lee,"70 W. Madison, Ste. 4500",Chicago,IL,60602
3939 JAM Ventures LLC,McGuire,Katriina,"70 W. Madison, Ste. 4500",Chicago,IL,60602
3 Corners Development,DiGrino,Mariah,203 N. LaSalle Street,Chicago,IL,60601
3 Diamnod Development,Tinucci,Margaret ,"39 S. LaSalle St., Ste. 808",Chicago,IL,60603
3 Diamnod Development,Pace,Virginia,"39 S. LaSalle St., Ste. 808",Chicago,IL,60603
"3F Properties, LLC",Moore,Thomas,111 W Washington,Chicago,IL,60602
3i Debt Management US LLC,Miller,Shane,One Grand Central Place,New York,NY,10165
3M Corporation,Brunsvold,Theodore,500 N. Dearborn,Chicago,IL,60654
3M Corporation,Brunsvold,Theodore,500 N. dearborn Street,Chicago,IL,60654
400-410 Michigan Real Estate LLC,Ramsey,Emily,53 W Jackson Blvd,Chicago,IL,60604
400-410 Michigan Real Estate LLC,Johnson,Allen,53 W Jackson Blvd,Chicago,IL,60604
400-410 Michigan Real Estate LLC,Goldsmith,Janice,"401 N. Michigan Ave., Ste. 250",Chicago,IL,60611
400-410 Michigan Real Estate LLC,Reifman,David,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
"400-410 N. Michigan Ave., Ste. 250",Reifman,David,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
"400-410 N. Michigan Ave., Ste. 250",DiGrino,Mariah,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
420 Capital Management LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
430 North LaSalle LLC,Gattuso,Joseph ,"111 E. Wacker Drive, Suite 2800",Chicago,IL,60601
450 Belmont Properties LLC,McGuire,Katriina,55 E. Monroe,Chicago,IL,60603
"4600 W. Addison, LLC c/o Bartlomiej Przyjemski",Banks,James ,"221 N. LaSalle St., #3800",Chicago,IL,60601
4801 N Ravenswood JV,Silver,Warren,"1700 W. Irving Park Rd., Ste. 102",Chicago,IL,60613
4801 N Ravenswood LLC,Silver,Warren,"1700 W. Irving Park Rd., Ste. 102",Chicago,IL,60613
"4K Diversey Partners, LLC",Klawiter,Richard,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
"4K Diversey Partners, LLC",Jahnke-Dale,Katherine,203 N. LaSalle Street,Chicago,IL,60601
"4K Diversey Partners, LLC",Klawiter,Richard,203 N. LaSalle Street,Chicago,IL,60601
4 KIDS LLC,Carrell ,Mitchell,"311 S. Wacker Dr., Ste. 3000",Chicago,IL,60606
4 KIDS LLC,Carrell ,Mitchell,311 S. Wacker Dr.,Chicago,IL,60606
4 KIDS LLC,Moynihan,Michael,311 S Wacker Dr.,Chicago,IL,60606
5100-5120 S. Ellis LLC,Cassel,Danielle,"222 N. LaSalle St., #2600",Chicago,IL,60601
"540 W. Madison Owner, LLC ",McGuire,Katriina,"70 W. Madison, Ste. 4500",Chicago,IL,60602
"540 W. Madison Owner, LLC ",Brankin,Patrick,"70 W. Madison, Ste. 4500",Chicago,IL,60602
"540 W. Madison Owner, LLC ",Brankin,Patrick,"70 W. Madison Street, Ste. 5300",Chicago,IL,60602
"5454 S. Shore Drive, LLC",Cassel,Peter,5240 S Hyde Park,Chicago,IL,60615
"5454 S. Shore Drive, LLC",Cassel,Peter,5240 S Hyde Park Boulevard,Chicago,IL,60615
"5454 S. Shore Drive, LLC",Martin,Sheeba,5240 S Hyde Park Blvd,Chicago,IL,60615
"5454 S. Shore Drive, LLC",Cassel,Danielle,"222 N. LaSalle St., #2600",Chicago,IL,60601
5528-5532 Everett LLC,Martin,Sheeba,5240 S Hyde Park Blvd,Chicago,IL,60615
55th & State Redevelopment LLC,Friedgut,Elizabeth,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
55th & State Redevelopment LLC,Laube,Michael,200 S. Wacker Dr.  Ste. 3100,Chicago,IL,60606
55th & State Redevelopment LLC,Friedgut,Elizabeth,203 N. LaSalle Street,Chicago,IL,60601
5657 Broadway LLC,Leach,Chris,"20 S. Clark St., Ste 400",Chicago,IL,60603
56th University Realty Trust,Cassel,Danielle,"222 N. LaSalle St., #2600",Chicago,IL,60601
"571 West Polk, LLC",Neal,Langdon,"120 N LaSalle St., Ste. 2600",Chicago,IL,60602
"571 West Polk, LLC",Neal,Langdon,"203 N. LaSalle, Ste. 2300",Chicago,IL,60601
"571 West Polk, LLC",George,Mary,"203 N LaSalle St., Ste. 2300",Chicago,IL,60601
"571 West Polk, LLC",George,Mary,"120 N LaSalle St., Ste. 2600",Chicago,IL,60602
5820 N Clark LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
5 Star Flash Inc,Shakman,Michael,"180 N LaSalle St., Ste. 3600",Chicago,IL,60601
5 Star Flash Inc,Feldman,Edward,"180 N LaSalle St., Ste. 3600",Chicago,IL,60601
6060 N. Northwest Hwy LLC,Brankin,Patrick,"70 W. Madison, Ste. 4500",Chicago,IL,60602
6060 N. Northwest Hwy LLC,Brankin,Patrick,"70 W. Madison Street, Ste. 5300",Chicago,IL,60602
625 W. Adams (Chicago) LLC,Leach,Chris,"20 S. Clark St., Ste 400",Chicago,IL,60603
625 W. Division Condos,Jahnke-Dale,Katherine,203 N. LaSalle Street,Chicago,IL,60601
625 W Division Condos LLC,Jahnke-Dale,Katherine,203 N. LaSalle Street,Chicago,IL,60601
"6981 Sheridan, Inc",Moore,Thomas,111 W Washington,Chicago,IL,60602
"70 East Walton Property, LLC",Grady,Graham,111 East Wacker Dr.,Chicago,IL,60601
71 S. Wacker Dr. LLC,DiGrino,Mariah,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
"725 Randolph, LLC",Acosta,Rolando,2949 W Gregory St,Chicago,IL,60625
"747 N. Wabash Ave. Apartments Investors, LLC",Carrell ,Mitchell,"311 S. Wacker Dr., Ste. 3000",Chicago,IL,60606
"747 N. Wabash Ave. Apartments Investors, LLC",Wendy,Richard,"311 S. Wacker Dr., Ste. 3000",Chciago,IL,60606
"763 Argos, LLC",Borstein,Scott,"203 N. LaSalle, Ste. 2300",Chicago,Il,60601
"763 Argos, LLC",Neal,Langdon,"203 N. LaSalle, Ste. 2300",Chicago,IL,60601
"7-Eleven, Inc",Panayotovich,Samuel,"33 N. LaSalle St., Ste 3300",Chicago,IL,60602
"7-Eleven, Inc",Murphy,Thomas,"111 W. Washington St., Ste. 1920",Chicago,IL,60602
"830 NMA, LLC",Zessar,Marjorie,General Growth Properties,Chicago,IL,60606
"854 West Randolph, LLC",Ezgur,Michael,1030 W. Chicago Ave.,Chicago,IL,60642
"854 West Randolph, LLC",Acosta,Rolando,2949 W Gregory St,Chicago,IL,60625
"900 N Dewitt Place Development, LLC",Maragos,Dean,1 N LaSalle St,Chicago,IL,60602
900 North Dewitt Place Development LLC,Repel,  Robert,737 W. Washington,Chicago,IL,60661
900 North DeWitt place LLC,Repel,  Robert,737 W. Washington,Chicago,IL,60661
969 Land LLC,Schuster,Stephen,330 N. Wabash Ave.,Chicago,IL,60611
969 Land LLC,Thompson,Patrick,330 N. Wabash Ave.,Chicago,IL,60611
AAD Associates ,Banks,William,"70 W. Madison, Ste. 4500",Chicago,IL,60602
A & A Drywall & Taping Services,O'Keefe,Bridget,"227 W. Monroe St., #3500",Chicago,IL,60606
AAIM Howard and Western LLC,Shea,Donald,227 W Monroe St,Chicago,IL,60606
AAIM Howard and Western LLC,O'Keefe,Bridget,227 W. Monroe St.,Chicago,IL,60606
"Abdullah, Mutaz",Silver,Warren,"1700 W. Irving Park Rd., Ste. 102",Chicago,IL,60613
Aberdeen Development,Moore,Thomas,111 W Washington,Chicago,IL,60602
Acacia Financial,Whelan,Kim,832 Matlock Dr,Moorestown,NJ,8057
Acacia Financial,Shea,Courtney,"221 N. LaSalle St., #1500",Chicago,IL,60601
Acacia Financial,White,Noreen,"26 Park St., Ste. 2010",Montclair,NJ,7042
Acacia Financial,Selden,Phoebe,221 N. LaSalle St. #1500,Chicago,IL,60601
Acacia Financial Group,Whelan,Kim,13000 Lincoln Drive West,Marlton,NJ,8053
Acacia Financial Group,White,Noreen,"26 Park St., Ste. 2010",Montclair,NJ,7042
"Acacia Financial Group, Inc.",Beck,James,1641 Monterey Drive,Glenview,IL,60026
"Acacia Financial Group, Inc.",Whelan,Kim,601 Route 73 North,Marlton,NJ,8053
"Acacia Financial Group, Inc.",White,Noreen,"26 Park St., Ste. 2010",Montclair,NJ,7042
"Acacia Financial Group, Inc.",Beck,James,721 Pheasant Lane,Glenview,IL,60025
"Acacia Financial Group, Inc.",Selden,Phoebe,221 N. LaSalle St. #1500,Chicago,IL,60601
Academy for Urban School Leadership,NOTTAGE,COURTNEY,222 NORTH LASALLE STREETSUITE 300,CHICAGO,IL,60601
Academy for Urban School Leadership,Dring,David,"222 N. LaSalle St., #300",Chicago,IL,60601
Academy for Urban School Leadership,KASPER,MICHAEL,222 NORTH LASALLE STREET SUITE 300,CHICAGO,IL,60601
Academy for Urban School Leadership,KASPER,MICHAEL,222 NORTH LASALLE STREETSUITE 300,CHICAGO,IL,60601
Access Community Health Network,Conlon,Kevin ,"350 N. LaSalle St., Ste. 1420",Chicago,IL,60654
Access Community Health Network,Conlon,Kevin ,"1 East Wacker Drive, Suite 500",Chicago,IL,60601
Access Community Health Network,Dunn,Christopher,"1 East Wacker Drive, Suite 500",Chicago,IL,60601
Access Community Health Network,Conlon,Kevin ,"350 N. LaSalle St., Ste. 1420",Chicago,IL,60610
Access Community Health Network,Dunn,Christopher,"350 N. LaSalle St., Ste. 1420",Chicago,IL,60654
Access Products Inc,Riley,Jeff,625 Carpenter Avenue,Oak Park,IL,60304
"Access Signs, Inc",Schramm,Jessica,55 East Monroe Street,Chicago,IL,60603
"Acciavatti, Brian",Moore,Thomas,111 W Washington,Chicago,IL,60602
Accounting Principals Inc,O'Keefe,Bridget,"227 W. Monroe St., #3500",Chicago,IL,60606
Accounting Principals Inc,O'Keefe,Bridget,227 W. Monroe St.,Chicago,IL,60606
A Chicago Convention Center LLC/Sethi Family,Georges,Mara,20 S. Clark St.,Chicago,IL,60603
Acqua Ancient Baths Chicago d/b/a Aire Ancient Bath Chicago,McGuire,Katriina,55 E. Monroe,Chicago,IL,60603
Addivy Properties LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
Adecco North America,O'Keefe,Bridget,227 W. Monroe St.,Chicago,IL,60606
Adecco North America,O'Keefe,Bridget,"227 W. Monroe St., #3500",Chicago,IL,60606
AD Madison Enterprises,Schuster,Stephen,330 N. Wabash Ave.,Chicago,IL,60611
AD Madison Enterprises,Thompson,Patrick,330 N. Wabash Ave.,Chicago,IL,60611
Ad Pod Media LLC,Linebaugh,Charles,524 W. 100 North,Valpariaso,IN,46385
adPOD Media LLC,Linebaugh,Charles,2249 N Sheffield Ave,Chicago,IL,60614
AdTraction Media LLC,Brunsvold,Theodore,500 N. Dearborn,Chicago,IL,60654
Advocate Illinois Masonic Hospital,George,John,130 E Randolph St,Chicago,IL,60601
Advocate Illinois Masonic Hospital,Duncan,Kathleen,130 E Randolph St,Chicago,IL,60601
Advocate Illinois Masonic Hospital,Duncan,Kathleen,20 S. Clark St,Chicago,IL,60603
Advocate Illinois Masonic Hospital,Duncan,Kathleen,180 N Stetson,Chicago,IL,60601
Advocate Illinois Masonic Hospital,George,John,180 N Stetson,Chicago,IL,60601
"AECOM USA, Inc.",Teele   ,Terry,212 W. Washington St  #1904,Chicago,IL,60606
"AECOM USA, Inc.",Doherty,Jay,"210 E. Pearson St., #9B",Chicago,IL,60611
"AECOM USA, Inc.",Palo,Jeffery,212 W. Washington St,Chicago,IL,60606
"AECOM USA, Inc.",Teele,Terry,212 W. Washington St,Chicago,IL,60606
Aeon Holding LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
Aeroterm,Bernardini,Charles,70 West Madison  Ste. 3500,Chicago,IL,60602
"AES Services, Inc",Cini,Joseph ,1024 N. Crosby St,Chicago,IL,60610
"Aetna, Inc.",Fary,Mark,6808 W. Archer Ave,Chicago,IL,60638
"Aetna, Inc.",Fary,Mark,6808 W. Archer Ave,Chicago,Il,60638
"Aetna, Inc.",Filan,William,321 N. Clark #2800,Chicago,IL,60610
Aetna Life Insurance Co,Filan,William,321 N. Clark #2800,Chicago,IL,60654
Aetna Live Insurance Co,Filan,William,321 N. Clark #2800,Chicago,IL,60654
A. Finkl & Sons,Leach,Chris,130 East Randolph Street,Chicago,IL,60601
A. Finkl & Sons,Jahnke-Dale,Katherine,203 N. LaSalle Street,Chicago,IL,60601
A. Finkl & Sons,Leach,Chris,180 N Stetson,Chicago,IL,60601
A. Finkl & Sons,George,John,180 N Stetson,Chicago,IL,60601
A Finkl & Sons Co.,George,John,180 N Stetson,Chicago,IL,60601
A Finkl & Sons Co.,Laube,Michael,200 S. Wacker Dr.  Ste. 3100,Chicago,IL,60606
A Finkl & Sons Co.,Klawiter,Richard,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
A Finkl & Sons Co.,Limatainen,Bruce,2011 N. Southport Ave.,Chicago,IL,60614
A. Fink & Sons Co.,Jahnke-Dale,Katherine,203 N. LaSalle Street,Chicago,IL,60601
A. Fink & Sons Co.,Klawiter,Richard,203 N. LaSalle Street,Chicago,IL,60601
A Fresh Start Sober Living,Banks,William,"70 W. Madison, Ste. 5300",Chicago,IL,60602
AFSCME Council 31,Alexander,Adrienne,"205 N. Michigan Ave., Ste. 2100",Chicago,IL,60601
"AG%2fCP West Bradley, LLC",DiLorenzo,Michael,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
"AG%2fCP West Bradley, LLC",Pugh,Donna,"321 N. Clark St., Ste. 2800",Chicago,IL,60610
"AGB Investigative Services, Inc.",Brown,Michael,212 W. Washington,Chicago,IL,60602
AG/CP West Bradley LLC,Pugh,Donna,321 N. Clark St.,Chicago,IL,60654
AG/CP West Bradley LLC,DiLorenzo,Michael,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
AG/CP West Bradley LLC,Pugh,Donna,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
AG/CP West Bradley LLC,Osoba,Wayne,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
AG/CP West Bradley LLC,DiLorenzo,Michael,321 N. Clark St.,Chicago,IL,60654
AGC West Town Center Owner LLC,Pugh,Donna,321 N. Clark St.,Chicago,IL,60654
AGC West Town Center Owner LLC,Gomez-Mesquita,Matthew,321 N Clark St.,Chicago,IL,60654
AGC West Town Center Owner LLC,DiLorenzo,Michael,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
AGC West Town Center Owner LLC,DiLorenzo,Michael,321 N. Clark St.,Chicago,IL,60654
AGC West Town Center Owner LLC,Pugh,Donna,"321 N. Clark St., Ste. 2800",Chicago,IL,60610
AGC West Town Center Owner LLC,O'Keefe,Bridget,"227 W. Monroe St., #3500",Chicago,IL,60606
AGC West Town Center Owner LLC,Johnson,Allen,53 W Jackson Blvd,Chicago,IL,60604
AGC West Town Center Owner LLC,Pugh,Donna,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
"Agile Mind Educational Holdings, Inc.",Kimsey,Anna,412 First St. SE  #100,Washington,DC,20003
AGLRE,Moore,Thomas,111 W Washington,Chicago,IL,60602
"AG-OCG 360 N. Michigan, L.L.C.",Grady,Graham,111 East Wacker Drive,Chicago,IL,60601
"AG-OCG 360 North Michigan, L.L.C.",Shadle,Paul,203 N. LaSalle Street,Chicago,IL,60601
"AG-OCG 360 North Michigan, L.L.C.",DiGrino,Mariah,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
"AG-OCG 360 North Michigan, L.L.C.",DiGrino,Mariah,203 N. LaSalle Street,Chicago,IL,60601
"AG-OCG 360 North Michigan, L.L.C.",Shadle,Paul,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
AH-River East LLC,Ramsey,Emily,53 W Jackson Blvd,Chicago,IL,60604
"AIRAM, Inc d/b/a Nana Organic Restaurant",Bennett,Paul,203 North LaSalle St.,Chicago,IL,60601
"AirMall USA, Inc",Katz,Marilyn,350 W. Hubbard St. #200,Chicago,IL,6065460610
Airport Business City,George,John,180 N Stetson,Chicago,IL,60601
Airport Management Services LLC,DiDomizio,Joseph,"One Meadowlands Plaza, Ste. 902",E. Rutherford,NJ,7073
"Airport Management Services, LLC",DiDomizio,Joseph,"One Meadowlands Plaza, Ste. 902",E. Rutherford,NJ,7073
"Airport Management Services, LLC",Benton,Derryl,2349 Blossomwood Dr.,Oviedo,FL,32765
Akara Partners LLC,Graines,Gregg,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
"Akara Partners, LLC",Shadle,Paul,203 N. LaSalle Street,Chicago,IL,60601
ALCOB Acquisition LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
"ALDI, Inc., an Illinois corporation",DiLorenzo,Michael,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
"ALDI, Inc., an Illinois corporation",Pugh,Donna,321 N. Clark St.,Chicago,IL,60654
"ALDI, Inc., an Illinois corporation",Osoba,Wayne,321 N. Clark St.,Chicago,IL,60654
"ALDI, Inc., an Illinois corporation",Pugh,Donna,"321 N. Clark St., Ste. 2800",Chicago,IL,60654
"ALDI, Inc., an Illinois corporation",DiLorenzo,Michael,321 N. Clark St.,Chicago,IL,60654
"ALDI, Inc., an Illinois corporation",Gomez-Mesquita,Matthew,321 N Clark St.,Chicago,IL,60654
"Alexander & Borovicka Government Solutions, LLC",OShea,Sean,230 W. Monroe,Chicago,IL,60606
Alexian Brothers,Theisen,John,"39 S. LaSalle St., Ste. 808",Chicago,IL,60603
Alexian Brothers AIDS Ministry,Pusateri,Lawrence,"39 S. LaSalle St., Ste. 808",Chicago,Il,60603
"Alex Pearsall c/o 955 Grand Adventures, LLKC",Banks,James ,"221 N. LaSalle At., #3800",Chicago,IL,60601
"Alex Troyanovsky c/o Mokin Investments, Inc.",Banks,James ,"221 N. LaSalle At., #3800",Chicago,IL,60601
Alliance of Automobile Manufacturers,Wadsworth,Renee ,803 7th Street NW,Washington,DC,20001
"Allied Telesis, Inc",Janicek,Cheryl,9425 Caledonia Dr.,Tinaly Park,IL,60487
"Allied Telesis, Inc",Janicek,Cheryl,2900 W. Irving Park Road,CHicago,IL,60618
Allied Tube & Conduit,Griffin,William,"222 Merchandise Mart Plaza, Ste. 275",Chicago,Il,60654
